year;cumulated_kilometers
1896;3.985
1899;6.465
1902;6.465
1905;6.465
1908;6.465
1911;6.465
1914;6.465
1917;6.465
1920;6.465
1923;6.465
1926;6.465
1929;6.456
1932;18.895
1935;20.345
1938;28.455
1941;28.455
1944;28.455
1947;28.455
1950;37.555
1953;48.455
1956;44.545
1959;42.555
1962;37.255
1965;31.565
1968;26.455
1971;24.455
1974;27.455
1977;38.255
1980;48.421
1983;62.131
1986;91.591
1989;96.861
1992;107.826
1995;107.826
1998;108.213
2001;121.222
2004;123.354
2007;137.634
2010;196.358
2013;211.999
2016;229.857
2019;238.226